layers,neurons,accuracy,mse
2,"(784, 584)",0.884,0.32883539528124056
2,"(784, 284)",0.8809,0.329982290273138
2,"(784, 84)",0.8825,0.33100996677238737
2,"(784, 10)",0.8792,0.33612842498113643
3,"(784, 584, 284)",0.8856,0.33124983300286953
3,"(784, 584, 84)",0.8894,0.32583412893260044
3,"(784, 584, 10)",0.8866,0.3300283343772486
3,"(784, 284, 84)",0.8857,0.34173499792757805
3,"(784, 284, 10)",0.8861,0.33880542102721495
3,"(784, 84, 10)",0.8831,0.3506854863102608
4,"(784, 584, 284, 84)",0.8887,0.3495282172071351
4,"(784, 584, 284, 10)",0.8759,0.43371683550408324
4,"(784, 584, 84, 10)",0.8852,0.38870906585292836
4,"(784, 284, 84, 10)",0.8889,0.37231358654035246
