layers,neurons,mse
2,"(784, 584)",1.229939083429569
2,"(784, 284)",1.1856014286571723
2,"(784, 84)",1.2073040610241947
2,"(784, 10)",1.241272432359721
3,"(784, 584, 284)",1.1788880325167264
3,"(784, 584, 84)",1.3685350464867785
3,"(784, 584, 10)",1.2044919346765488
3,"(784, 284, 84)",1.1901301282647916
3,"(784, 284, 10)",1.2064535523747275
3,"(784, 84, 10)",1.1952840001761924
4,"(784, 584, 284, 84)",1.201064112573558
4,"(784, 584, 284, 10)",1.2448612662803404
4,"(784, 584, 84, 10)",1.1826354101093872
4,"(784, 284, 84, 10)",1.2266192562853528
